#Frame      Mode1    Mode2
     991   -9.014    1.583
     992  -10.048    1.114
     993   -8.173    3.112
     994   -9.306    1.089
     995  -10.087    3.070
     996   -7.894    3.384
     997   -9.896    3.386
     998  -10.931    4.044
     999  -10.139    3.758
    1000  -10.389    3.896
    1001  -10.868    2.644
    1002  -10.963    1.784
    1003   -9.940    1.986
    1004   -8.068    1.077
    1005   -7.097    0.521
    1006   -8.295   -1.298
    1007   -6.765   -0.211
    1008   -5.688   -1.502
    1009   -5.248   -0.172
    1010   -4.596   -1.265
    1011   -5.227   -3.060
    1012   -6.184   -2.465
    1013   -7.878   -0.875
    1014   -5.870   -1.026
    1015   -5.464   -2.804
    1016   -4.346   -4.278
    1017   -4.419   -7.264
    1018   -7.520   -4.482
    1019   -6.601   -3.881
    1020   -4.978   -3.408
    1021   -6.225   -2.722
    1022   -6.874   -2.613
    1023   -5.937   -4.374
    1024   -5.739   -5.429
    1025   -3.728   -5.152
    1026   -4.012   -3.726
    1027   -6.345   -3.445
    1028   -6.675   -1.692
    1029   -7.395   -1.955
    1030   -7.107   -0.394
    1031   -6.920   -1.086
    1032   -6.054   -3.563
    1033   -6.474   -1.624
    1034   -6.569   -2.462
    1035   -4.466   -3.100
    1036   -4.935   -2.868
    1037   -5.073   -1.452
    1038   -5.417   -1.333
    1039   -4.326   -2.828
    1040   -6.102   -3.106
    1041   -5.291   -2.949
    1042   -5.012   -2.419
    1043   -5.989   -0.885
    1044   -5.832    0.131
    1045   -5.922   -0.800
    1046   -6.342   -0.743
    1047   -7.024    0.630
    1048   -7.863    0.183
    1049   -9.218    0.398
    1050   -7.166    1.273
    1051   -7.824   -0.377
    1052   -7.305   -0.504
    1053   -7.623    0.668
    1054   -7.356    0.056
    1055   -6.845    0.077
    1056   -9.763   -2.916
    1057   -9.844   -3.425
    1058   -9.507   -1.787
    1059   -9.205    0.813
    1060   -4.883    2.952
    1061   -6.513    2.002
    1062   -8.258    3.706
    1063   -6.840    3.872
    1064   -9.406    2.459
    1065   -8.815    1.884
    1066   -8.673    1.941
    1067   -9.712    2.579
    1068   -9.449    3.701
    1069   -8.035    4.650
    1070   -6.352    6.616
    1071   -6.715    7.050
    1072   -5.918    9.863
    1073   -8.479    9.597
    1074   -5.981    9.102
    1075   -5.607    7.178
    1076   -5.462    6.760
    1077   -6.974    7.138
    1078   -6.852    6.055
    1079   -7.795    7.215
    1080   -7.282    6.650
    1081   -4.607    7.019
    1082   -2.460    7.737
    1083   -5.135   10.765
    1084   -4.701   10.086
    1085   -3.244   10.789
    1086   -2.758   10.169
    1087   -2.148    9.829
    1088   -2.441    9.707
    1089   -5.528   10.210
    1090   -6.108   12.432
    1091   -5.572   11.684
    1092   -7.871   13.752
    1093   -7.751   15.897
    1094   -8.358   16.415
    1095   -8.306   16.536
    1096   -6.928   15.790
    1097   -7.952   15.280
    1098   -8.977   17.276
    1099   -8.701   17.323
    1100   -7.341   17.964
    1101   -7.695   18.011
    1102   -8.400   17.093
    1103   -8.056   18.662
    1104   -7.001   18.396
    1105   -7.358   18.655
    1106   -5.381   18.688
    1107   -3.144   17.606
    1108   -2.889   18.255
    1109   -5.304   15.791
    1110   -6.409   16.964
    1111   -7.357   17.902
    1112   -7.833   17.886
