#Frame      Mode1    Mode2
     952   -2.493   -1.882
     953   -3.710   -2.032
     954   -4.225   -1.170
     955   -3.126   -1.347
     956   -1.218   -3.449
     957   -2.974   -4.655
     958   -2.474   -4.718
     959   -3.771   -3.085
     960   -2.471   -2.122
     961   -1.100   -1.415
     962   -0.897   -3.106
     963   -0.485   -5.081
     964   -1.430   -6.279
     965   -1.564   -4.979
     966    0.872   -4.162
     967   -1.363   -3.550
     968   -2.292   -4.036
     969   -2.897   -4.201
     970   -2.626   -1.950
     971   -2.627   -3.120
     972   -2.968   -2.326
     973   -3.026   -2.850
     974   -2.854   -0.713
     975   -5.369   -5.046
     976   -3.547   -3.534
     977   -4.811   -3.907
     978   -4.743   -3.497
     979   -3.844   -4.495
     980   -4.688   -5.426
     981   -3.232   -5.492
     982   -4.476   -7.055
     983   -3.646   -3.944
     984   -3.974   -4.842
     985   -4.714   -4.152
     986   -5.468   -3.021
     987   -5.679   -5.308
     988   -4.339   -4.004
     989   -4.798   -4.722
     990   -3.885   -0.834
     991   -1.233   -2.976
     992   -1.627   -4.462
     993   -3.794   -4.536
     994   -3.293   -1.916
     995   -1.550   -3.473
     996   -1.926   -3.676
     997   -2.576   -3.709
     998   -3.790   -2.077
     999   -1.752   -3.597
    1000    0.032   -2.183
    1001   -2.278   -4.089
    1002   -0.755   -4.244
    1003   -1.162   -4.550
    1004   -2.790   -6.284
    1005   -2.730   -7.918
    1006   -3.395   -8.809
    1007   -4.251   -5.942
    1008   -2.613   -8.037
    1009   -2.116   -7.191
    1010   -2.012   -6.890
    1011   -1.025   -4.735
    1012   -1.803   -2.903
    1013   -1.794   -3.572
    1014    0.707   -6.451
    1015   -0.278   -4.606
    1016   -0.710   -2.999
    1017   -1.801   -2.705
    1018   -1.079   -3.705
    1019   -0.826   -3.784
    1020    0.116   -2.507
    1021   -0.325   -2.599
    1022   -1.088   -4.155
    1023   -1.494   -3.118
    1024   -3.165   -3.203
    1025   -1.645   -4.174
    1026   -2.128   -3.093
    1027   -2.045   -2.269
    1028   -1.559   -2.538
    1029    0.453   -4.160
    1030    1.020   -2.421
    1031    1.667   -1.420
    1032    1.692   -0.604
    1033    2.672   -2.036
    1034   -0.336   -2.002
    1035    0.650   -1.384
    1036    1.565   -1.894
    1037    0.461   -2.621
    1038   -1.172   -2.380
    1039   -2.245   -0.619
    1040   -1.642   -1.623
    1041   -1.764    0.551
    1042   -0.968   -0.528
    1043   -0.841    0.255
    1044   -2.249   -0.016
    1045   -4.075   -0.423
    1046   -3.216    0.616
    1047   -3.927    0.639
    1048   -3.636   -0.053
    1049   -2.702    1.431
    1050   -1.634    1.880
    1051   -2.513    2.314
    1052   -2.732    1.431
    1053   -2.960    0.759
    1054   -4.136   -1.019
    1055   -2.139    1.159
    1056   -2.456    0.439
    1057   -4.086   -1.550
    1058   -6.931   -3.408
    1059   -6.305   -2.917
    1060   -5.944   -0.840
    1061   -5.141   -1.388
    1062   -5.708    1.230
    1063   -6.064    0.211
    1064   -5.316    1.893
    1065   -2.900    0.171
    1066   -3.458   -2.308
    1067   -2.020   -4.403
    1068   -3.525   -2.514
    1069   -2.788   -0.577
    1070   -4.092    1.153
    1071   -3.037    2.018
    1072   -1.861    1.744
    1073   -3.864    1.247
    1074   -2.947   -0.088
    1075   -3.320    1.006
    1076   -1.619    1.540
    1077   -1.228    2.147
    1078   -3.491    3.293
    1079   -3.426    1.657
    1080   -0.704    2.524
    1081   -1.698   -0.432
    1082   -3.689    0.721
    1083   -4.500    2.495
    1084   -5.486    1.594
    1085   -7.593    1.983
    1086   -3.009    0.269
    1087   -2.720    0.710
    1088   -3.605    1.203
    1089   -3.825    1.149
    1090   -4.811    0.714
    1091   -1.532    1.554
    1092   -2.526    0.304
    1093   -5.393    0.521
    1094   -5.095    0.010
    1095   -3.836   -0.843
    1096   -4.524   -2.511
    1097   -3.561   -4.186
    1098   -5.759   -3.337
    1099   -3.582   -2.606
    1100   -2.040   -2.810
